,rank,name,year,IMDB_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
221,222,Hotel Rwanda,2004,8.0,CA,Drama/History/War,17500000,38000000,rwanda/refugee/refugee camp/militia/rwandan genocide/murder/slaughter/dead body/atrocity/african/cruelty/violence/united nations/death,4.010588235294118,205
222,223,Amores perros,2000,8.0,MX,Drama/Thriller,2000000,20908467,homeless person/mexico city/daughter/secret love/dogfight/money/dog/nonlinear timeline/multiple storylines/new mexican cinema,4.067213114754098,55
223,224,Dead Poets Society,1989,8.0,US,Drama,16400000,235860116,individual/philosophy/poetry/william shakespeare/professor/literature/friendship/teacher/school play/vermont/schoolteacher/preparatory school/a midsummer night's dream/1950s,3.894275161588181,207
224,225,Spotlight,2015,8.0,CA,Drama/Thriller/History,20000000,88346473,gay/child abuse/journalism/newspaper/judge/florida/boston/pedophilia/sex scandal/victim/court/cover-up/based on a true story/priest/conspiracy/lawyer/catholic/catholic church/lgbt/catholicism/archdiocese/investigative journalism/cardinal,,314365
225,226,Ace in the Hole,1951,8.0,US,Drama,1821052,1300000,sheriff/journalism/new mexico/satire/rescue/reporter/trapped/desert/media hype/newspaper man/film noir/film gris,3.875,25364
226,227,Rebecca,1940,8.0,US,Drama/Mystery,1288000,6000000,monte carlo/based on novel or book/age difference/secret/obsession/bride/cornwall england/love/rural setting/devotion/housekeeper/death/estate/costume party/film noir/second wife,4.097510373443983,223
227,228,White Heat,1949,8.0,US,Crime/Drama/Thriller,0,0,prison/parent child relationship/gangster/undercover agent/mama's boy/psychopath/heist/on the run/shootout/train/explosion/killer/inmate/criminal gang/prison break/film noir/infiltrate/unfaithful wife,4.02,15794
228,229,Rocky,1976,8.0,US,Drama,1000000,117235147,underdog/philadelphia/transporter/italian american/fight/love of one's life/publicity/boxer/independence/boxing match/training/lovers/surprise/world champion/amateur/victory,3.7174479166666665,1366
229,230,"Monsters, Inc.",2001,8.0,US,Animation/Comedy/Family,115000000,562816256,monster/cheating/kidnapping/infant/villain/panic/energy supply/company/portal/rivalry/hijinks/best friend/scream/chameleon/parallel world/conveyor belt/invisibility/energy company/friend/conspirators,3.865843949044586,585
230,231,Ah-ga-ssi,2016,8.0,KR,Thriller/Drama/Romance,8575000,37692886,sex/nudity/con man/pickpocket/lesbian relationship/plot/lust/lesbian sex/mature/psychological/asian lgbt/con woman/korean/japanese occupation of korea/erotic,,290098
231,232,It Happened One Night,1934,8.0,US,Comedy/Romance,325000,4500000,miami/newspaper/marriage/reporter/black and white/screwball comedy/socialite/pre-code/based on short story/screwball/hitchhiking/rich girl/brat,4.134199134199134,3078
232,233,La haine,1995,8.0,FR,Drama,2600000,15300000,"paris, france/neo nazism/skinhead/street gang/robbery/police brutality/hip-hop/gun/socially deprived family/breakdance/arabian/ghetto/boredom/revenge/suburb/violence/police officer/unemployment/capture/xenophobia",3.98989898989899,406
233,234,Lagaan: Once Upon a Time in India,2001,8.0,IN,Adventure/Drama/Music/Romance,5200000,8100000,cricket/sport/british/arrogance/based on supposedly true story/drought/19th century/british raj,4.118421052631579,19666
234,235,Gangs of Wasseypur,2012,8.0,IN,Action/Thriller/Crime,1400000,4100000,mafia/gang,2.5,117691
235,236,The Princess Bride,1987,8.0,US,Adventure/Family/Fantasy/Comedy/Romance,16000000,30857814,based on novel or book/cult film/swashbuckler/evil prince/screwball/impersonation/grandfather grandson relationship,4.177391304347826,2493
236,237,PK,2014,8.0,,,0,0,,,307235
237,238,Before Sunset,2004,8.0,US,Drama/Romance,2700000,15992615,"paris, france/journalist/talking/soulmates/walking/bookshop/love of one's life/author",3.9689119170984455,80
238,239,The Help,2011,8.0,IN,Drama,25000000,124272124,mississippi/based on novel or book/exploitation/racial segregation/racism/writer/maid/moral courage/ressentiment/southern belle/racial issues/1960s/newspaper columnist,3.8860759493670884,50014
239,240,Butch Cassidy and the Sundance Kid,1969,8.0,US,Western,6000000,102308889,dynamite/bolivia/male friendship/on the run/shootout/train robbery/posse/last stand/escape plan/western bandits,4.055944055944056,642
240,241,Faa yeung nin wa,2000,8.0,CN,Drama/Romance,0,12854953,adultery/lovesickness/martial arts/newspaper/husband wife relationship/married couple/shanghai/deceived husband/forbidden love/singapore/marriage crisis/secret love/neighbor/author/hong kong/extramarital affair/1960s,4.0504587155963305,843
241,242,The Terminator,1984,8.0,GB,Action/Thriller/Science Fiction,6400000,78371200,"saving the world/artificial intelligence/rebel/cyborg/laser gun/shotgun/killer robot/dystopia/los angeles, california/car chase/urban setting/future war/griffith observatory",3.9247762863534676,218
242,243,Akira,1988,8.0,JP,Science Fiction/Animation,10000000,0,saving the world/total destruction/megacity/street gang/underground/general/stadium/experiment/atomic bomb/mutation/dystopia/army/cyberpunk/motorcycle gang/cult film/anime,3.805813953488372,149
243,244,"Paris, Texas",1984,8.0,DE,Drama,1746964,2181987,"sibling relationship/regret/texas/peep show/van/mute/redemption/los angeles, california/desert/family/new german cinema",3.8442028985507246,655
244,245,Munna Bhai M.B.B.S.,2003,8.0,IN,Comedy/Drama,0,0,medicine/hospital,,19625
245,246,Aladdin,1992,8.0,US,Animation/Family/Adventure/Fantasy/Romance,28000000,504050219,magic/parrot/musical/tiger/sultan/flying carpet/cartoon/princess/love/monkey/arab/aftercreditsstinger/genie/arabian nights/three wishes/animal sidekick/magic lamp,3.678671003717472,812
246,247,Guardians of the Galaxy,2014,8.0,US,Action/Science Fiction/Adventure,170000000,772776600,spacecraft/based on comic/space/orphan/adventurer/aftercreditsstinger/duringcreditsstinger/marvel cinematic universe,3.7212389380530975,118340
247,248,Mou gaan dou,2002,8.0,HK,Drama/Action/Thriller/Crime/Mystery,0,8708932,undercover/undercover agent/hong kong,3.968421052631579,10775
248,249,La battaglia di Algeri,1966,8.0,IT,Drama/War/History,800000,921548,bomb/muslim/resistance/revolution/algerian/independence/insurrection/government/torture/united nations/underground fighting/algiers/military/casbah/battle of algiers/struggle for independence,3.9754098360655736,17295
249,250,Tenkû no shiro Rapyuta,1986,8.0,JP,Adventure/Fantasy/Animation/Action/Family/Romance,0,0,flying/mine/magic/castle/lost civilisation/army/pirate/girl/government agent/floating/pendant/blue sky/air pirate/crystal/anime,4.046448087431694,10515
