,rank,name,year,IMDB_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
124,125,Batman Begins,2005,8.2,GB,Action/Crime/Drama,150000000,374218673,loss of loved one/martial arts/dc comics/crime fighter/secret identity/undercover/vigilante/superhero/based on comic/rivalry/tragic hero/ninja/super power/haunted by the past/evil doctor/master villain/fighting crime/unfulfilled love,3.973790322580645,272
125,126,Yôjinbô,1961,8.2,JP,Drama/Thriller,0,0,japan/gambling/swordplay/samurai/sword/bodyguard/fighting/family/intrigue/ronin/revolver/edo period/feudal japan/19th century/asian western,4.158333333333333,11878
126,127,Unforgiven,1992,8.2,US,Western,14000000,159157447,prostitute/sheriff/bounty/regret/wyoming/right and justice/kansas/revenge/mutilation/one last job/reputation/19th century/englishman/pig farmer,3.9935400516795867,33
127,128,Green Book,2018,8.2,US,Drama/Comedy,23000000,319700000,gay/southern usa/friendship/racism/pianist/driver/lgbt/music tour/1960s/america/roadtrip,,490132
128,129,Der Untergang,2004,8.2,AT,Drama/History/War,18339750,92180910,berlin germany/poison/dictator/based on novel or book/clerk/ideology/world war ii/traitor/despair/destroy/nazi/testament/capitulation/soviet troops/race politics/national socialism/ultimate victory/minister/national socialist party/dying and death/historical figure/german shepherd/1940s/hitler/adolf hitler,3.9488372093023254,613
129,130,Ford v Ferrari,2019,8.2,US,Drama/History/Action,97600000,52437000,based on novel or book/biography/racing/racecar driver/1960s/cars,,359724
130,131,Bacheha-Ye aseman,1997,8.2,IR,Drama/Comedy/Family,180000,925402,sibling relationship/class/foot race,4.0,21334
131,132,Some Like It Hot,1959,8.2,US,Comedy/Romance,2883848,25000000,chicago/florida/witness/musician/mafia/cross dressing/train/band/spats/all girl band/st. valentine's day massacre/sugar/valentine's day/dressing,4.099494097807757,239
132,133,Hauru no ugoku shiro,2004,8.2,JP,Fantasy/Animation/Adventure,24000000,236049757,flying/witch/rain/castle/scarecrow/body exchange/hatter/bakery/demon/anime/based on young adult novel,4.068661971830986,4935
133,134,The Great Escape,1963,8.2,US,Adventure/Drama/History/Thriller/War,4000000,11744471,based on novel or book/optimism/switzerland/baseball/famous score/prisoner/shower/world war ii/prisoner of war/claustrophobia/nazi/machinegun/dystopia/attempt to escape/uniform/freedom/based on a true story/prison guard/tragedy/escape/swastika/barbed wire/solitary confinement/motorcycle/alps,4.145797598627787,5925
134,135,Tonari no Totoro,1988,8.2,JP,Fantasy/Animation/Family,0,0,japan/sibling relationship/mother/leave/village/rural setting/hospital/new neighbor/new home/super power/magical creature/cute/anime,4.104961832061068,8392
135,136,Ran,1985,8.2,JP,Action/Drama/History,11500000,4069653,assassination/gun/castle/power/kingdom/greed/heir to the throne/epic/revenge/blood/descent into madness/seppuku/inheritance fight/ruins/king lear/feudal japan/black widow/hopelessness,4.122983870967742,11645
136,137,A Beautiful Mind,2001,8.2,US,Drama/Romance,60000000,313542341,individual/schizophrenia/usa/massachusetts/love of one's life/intelligence/mathematician/market economy/economic theory/princeton university/nobel prize/mathematical theorem/m.i.t./biography/mathematics/delusion,3.914406779661017,453
137,138,All About Eve,1950,8.2,US,Drama,1400000,63463,"playwright/hollywood, california/black and white/relationship/insecurity/broadway/based on short story/theater/broadway star",4.225631768953068,705
138,139,Pan's Labyrinth,2006,8.2,MX,Fantasy/Drama/War,19000000,83258226,spain/resistance/servant/anti hero/fairy/fairy tale/franco regime/army/princess/love/woods/king/hiding/labyrinth/mythological/children in wartime,4.063025210084033,1417
139,140,Casino,1995,8.2,FR,Crime,52000000,116112375,poker/casino/drug abuse/1970s/overdose/mafia/las vegas/illegal prostitution/1980s,3.849066390041494,524
140,141,Idi i smotri,1985,8.2,BY,Drama/History/War,0,0,war crimes/world war ii/nazi/wehrmacht/insanity/surrealism/teenage girl/atrocity/genocide/russian army/mine field/horrors of war/premature aging/byelorussia/eastern front/children in wartime,4.025,25237
141,142,Raging Bull,1980,8.2,US,Drama,18000000,23000000,transporter/jealousy/violent husband/paranoia/boxer/brother/biography/fistfight/broken nose/sport/domestic violence/over-the-hill fighter,4.022403258655804,1578
142,143,El secreto de sus ojos,2009,8.2,AR,Crime/Drama/Mystery/Romance,2000000,33965843,rape/secret/writing/homicide/kidnapping/passion/suspect/investigation/police/partner/murder/tension/argentina/justice,3.9338235294117645,25376
143,144,"Lock, Stock and Two Smoking Barrels",1998,8.2,GB,Comedy/Crime,1350000,28356188,ambush/alcohol/shotgun/tea/joint/machismo/cocktail/rifle/marijuana/pot smoking/hatchet/antique/cardsharp/anger/cult film/carjacking/piano/strip show/high stakes,4.007416563658838,100
144,145,The Irishman,2019,8.1,US,Crime/History/Drama,159000000,607420,chicago/based on novel or book/1970s/irish-american/hitman/male friendship/family relationships/organized crime/sicilian mafia/labor union/1950s/1960s/mob family/jimmy hoffa/20th century/father daughter relationship,,398978
145,146,The Wolf of Wall Street,2013,8.1,US,Crime/Drama/Comedy,100000000,392000694,corruption/drug addiction/anti hero/con man/fraud/wall street/rise and fall/con artist/stockbroker/wealthy/drugs/stripping/hedonism/decadence/1980s/sharemarket fraud/financial market/black monday,3.747787610619469,106646
146,147,The Treasure of the Sierra Madre,1948,8.1,US,Adventure/Drama/Western,3800000,4307000,mexico/based on novel or book/gold/gold rush/greed/gold mine/friends/money/american/bandit/dead mule/prospector/1920s,4.208487084870849,3090
147,148,Judgment at Nuremberg,1961,8.1,DE,Drama/History,3000000,10000000,judge/concentration camp/world war ii/nazi/court case/national socialism/national socialist party/nuremberg trials/nuremberg/right and justice/trial,3.9743589743589745,821
148,149,"Three Billboards Outside Ebbing, Missouri",2017,8.1,GB,Crime/Drama,15000000,158526998,suicide/rape/small town/missouri/alcoholism/murder/dark comedy/cancer/teenage girl/arson/police corruption/racism/anger/billboard/guilty conscience/molotov cocktail/police violence/pool hall,,359940
149,150,Babam ve Oglum,2005,8.1,TR,Comedy/Drama,0,0,,,13393
150,151,Chinatown,1974,8.1,US,Crime/Drama/Mystery/Thriller,6000000,30000000,"rape/sea/river/chinatown/mistake in person/pedophilia/dying and death/barrage/los angeles, california/private detective/neo-noir",4.18450184501845,829
151,152,The Gold Rush,1925,8.1,US,Adventure/Comedy/Drama,923000,2500000,river/gold/dance/worker/cabin/gold rush/thanksgiving/love/alaska/klondike/little tramp/dance hall,4.2100840336134455,962
152,153,There Will Be Blood,2007,8.1,US,Drama,25000000,77208711,"sibling relationship/california/pastor/deaf-mute/american dream/fanatic/pipeline/petrol/father/step father/oil/money/los angeles, california/twins/killer/alcoholic/bowling alley/sign languages/adopted son",3.9302788844621515,7345
153,154,Dial M for Murder,1954,8.1,US,Crime/Thriller/Drama/Mystery,1400000,3000000,"london, england/adultery/jealousy/secret/blackmail/evidence/tennis player/letter/marriage/love/murder/classic/theft/visit/husband/murder plot/3d/crime fiction writer/keys",4.045454545454546,521
