,rank,name,year,douban_rating
169,170,头脑特工队,2015,8.7
170,171,头号玩家,2018,8.7
171,172,你看起来好像很好吃,2010,8.8
172,173,海边的曼彻斯特,2016,8.6
173,174,无敌破坏王,2012,8.7
174,175,功夫,2004,8.5
175,176,恋恋笔记本,2004,8.5
176,177,未麻的部屋,1997,8.9
177,178,冰川时代,2002,8.5
178,179,忠犬八公物语,1987,9.1
179,180,模仿游戏,2014,8.6
180,181,一个叫欧维的男人决定去死,2015,8.8
181,182,二十二,2015,8.7
182,183,虎口脱险,1966,8.9
183,184,黑客帝国3：矩阵革命,2003,8.7
184,185,雨中曲,1952,9.0
185,186,海洋,2009,9.1
186,187,人工智能,2001,8.6
187,188,海街日记,2015,8.7
188,189,房间,2015,8.8
189,190,魔女宅急便,1989,8.6
190,191,恐怖游轮,2009,8.4
191,192,燃情岁月,1994,8.8
192,193,惊魂记,1960,8.9
193,194,穿越时空的少女,2006,8.6
194,195,罗生门,1950,8.8
195,196,魂断蓝桥,1940,8.8
196,197,釜山行,2016,8.4
197,198,完美陌生人,2016,8.5
198,199,奇迹男孩,2017,8.6
199,200,猜火车,1996,8.5
200,201,疯狂的石头,2006,8.4
201,202,终结者2：审判日,1991,8.7
202,203,阿飞正传,1990,8.5
203,204,可可西里,2004,8.7
204,205,香水,2006,8.5
205,206,人生果实,2017,9.6
206,207,初恋这件小事,2010,8.4
207,208,牯岭街少年杀人事件,1991,8.8
208,209,新世界,2013,8.8
209,210,谍影重重2,2004,8.6
210,211,谍影重重,2002,8.6
211,212,2001太空漫游,1968,8.8
212,213,战争之王,2005,8.6
213,214,爱在午夜降临前,2013,8.8
214,215,地球上的星星,2007,8.9
215,216,浪潮,2008,8.7
216,217,青蛇,1993,8.5
217,218,朗读者,2008,8.5
218,219,新龙门客栈,1992,8.6
219,220,无耻混蛋,2009,8.5
220,221,源代码,2011,8.4
221,222,绿里奇迹,1999,8.8
222,223,步履不停,2008,8.8
223,224,哈利·波特与阿兹卡班的囚徒,2004,8.5
224,225,小萝莉的猴神大叔,2015,8.5
225,226,血钻,2006,8.6
226,227,再次出发之纽约遇见你,2013,8.5
227,228,城市之光,1931,9.3
228,229,彗星来的那一夜,2013,8.5
229,230,追随,1998,8.9
230,231,疯狂的麦克斯4：狂暴之路,2015,8.6
231,232,一次别离,2011,8.7
232,233,哈利·波特与密室,2002,8.5
233,234,东京物语,1953,9.2
234,235,聚焦,2015,8.8
235,236,遗愿清单,2007,8.6
236,237,撞车,2004,8.6
237,238,发条橙,1971,8.5
238,239,小偷家族,2018,8.7
